location,date,vaccine,total_vaccinations
Chile,2020-12-24,Pfizer/BioNTech,420
Chile,2020-12-25,Pfizer/BioNTech,5198
Chile,2020-12-26,Pfizer/BioNTech,8338
Chile,2020-12-27,Pfizer/BioNTech,8649
Czechia,2020-12-27,Pfizer/BioNTech,1252
France,2020-12-27,Pfizer/BioNTech,20
Germany,2020-12-27,Johnson&Johnson,0
Germany,2020-12-27,Moderna,1
Germany,2020-12-27,Oxford/AstraZeneca,0
Germany,2020-12-27,Pfizer/BioNTech,24086
Italy,2020-12-27,Pfizer/BioNTech,7180
Lithuania,2020-12-27,Pfizer/BioNTech,2454
Romania,2020-12-27,Pfizer/BioNTech,965
Chile,2020-12-28,Pfizer/BioNTech,8649
Czechia,2020-12-28,Pfizer/BioNTech,3549
France,2020-12-28,Pfizer/BioNTech,83
Germany,2020-12-28,Johnson&Johnson,0
Germany,2020-12-28,Moderna,1
Germany,2020-12-28,Oxford/AstraZeneca,0
Germany,2020-12-28,Pfizer/BioNTech,42646
Italy,2020-12-28,Pfizer/BioNTech,8606
Latvia,2020-12-28,Pfizer/BioNTech,595
Lithuania,2020-12-28,Pfizer/BioNTech,5210
Romania,2020-12-28,Pfizer/BioNTech,2066
Chile,2020-12-29,Pfizer/BioNTech,8649
Czechia,2020-12-29,Pfizer/BioNTech,6995
France,2020-12-29,Pfizer/BioNTech,191
Germany,2020-12-29,Johnson&Johnson,0
Germany,2020-12-29,Moderna,1
Germany,2020-12-29,Oxford/AstraZeneca,0
Germany,2020-12-29,Pfizer/BioNTech,93470
Iceland,2020-12-29,Johnson&Johnson,0
Iceland,2020-12-29,Moderna,0
Iceland,2020-12-29,Oxford/AstraZeneca,0
Iceland,2020-12-29,Pfizer/BioNTech,2524
Italy,2020-12-29,Pfizer/BioNTech,9615
Latvia,2020-12-29,Pfizer/BioNTech,1468
Lithuania,2020-12-29,Pfizer/BioNTech,8184
Romania,2020-12-29,Pfizer/BioNTech,2778
Chile,2020-12-30,Pfizer/BioNTech,8649
Czechia,2020-12-30,Pfizer/BioNTech,10470
France,2020-12-30,Pfizer/BioNTech,310
Germany,2020-12-30,Johnson&Johnson,0
Germany,2020-12-30,Moderna,1
Germany,2020-12-30,Oxford/AstraZeneca,0
Germany,2020-12-30,Pfizer/BioNTech,156252
Iceland,2020-12-30,Johnson&Johnson,0
Iceland,2020-12-30,Moderna,0
Iceland,2020-12-30,Oxford/AstraZeneca,0
Iceland,2020-12-30,Pfizer/BioNTech,4940
Italy,2020-12-30,Pfizer/BioNTech,14343
Latvia,2020-12-30,Pfizer/BioNTech,2261
Lithuania,2020-12-30,Pfizer/BioNTech,9716
Romania,2020-12-30,Pfizer/BioNTech,5666
Chile,2020-12-31,Pfizer/BioNTech,8649
Czechia,2020-12-31,Pfizer/BioNTech,11775
France,2020-12-31,Pfizer/BioNTech,393
Germany,2020-12-31,Johnson&Johnson,0
Germany,2020-12-31,Moderna,1
Germany,2020-12-31,Oxford/AstraZeneca,0
Germany,2020-12-31,Pfizer/BioNTech,206443
Iceland,2020-12-31,Johnson&Johnson,0
Iceland,2020-12-31,Moderna,0
Iceland,2020-12-31,Oxford/AstraZeneca,0
Iceland,2020-12-31,Pfizer/BioNTech,4940
Italy,2020-12-31,Pfizer/BioNTech,39826
Lithuania,2020-12-31,Pfizer/BioNTech,9741
Romania,2020-12-31,Pfizer/BioNTech,10289